convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,5,5,Fibonacci,66.5282384,0.562464594
Fibonacci,5,6,Fibonacci,65.10225689,0.616036689
Fibonacci,5,7,Fibonacci,63.99963836,0.667567942
Fibonacci,5,8,Fibonacci,68.45622958,0.669765945
Fibonacci,5,9,Fibonacci,68.20534356,0.657845059
Fibonacci,5,10,Fibonacci,71.08761026,0.702379389
Fibonacci,5,11,Fibonacci,72.86190347,0.711634588
Fibonacci,5,12,Fibonacci,73.56177843,0.771948201
Fibonacci,5,13,Fibonacci,78.38198574,0.751475585
Fibonacci,5,14,Fibonacci,79.19426848,0.78549752
Fibonacci,5,15,Fibonacci,80.35802039,0.773702404
Fibonacci,6,5,Fibonacci,63.94034774,0.599877246
Fibonacci,6,6,Fibonacci,67.64990639,0.633184769
Fibonacci,6,7,Fibonacci,70.41732884,0.665500578
Fibonacci,6,8,Fibonacci,69.5670817,0.68557362
Fibonacci,6,9,Fibonacci,70.27297331,0.680997551
Fibonacci,6,10,Fibonacci,75.51650602,0.682820323
Fibonacci,6,11,Fibonacci,75.38887184,0.71018281
Fibonacci,6,12,Fibonacci,76.94229541,0.79708726
Fibonacci,6,13,Fibonacci,81.26417314,0.787369846
Fibonacci,6,14,Fibonacci,80.39333718,0.777731864
Fibonacci,6,15,Fibonacci,82.58634854,0.818522555
Fibonacci,7,5,Fibonacci,68.57663211,0.657177765
Fibonacci,7,6,Fibonacci,65.73561088,0.635503667
Fibonacci,7,7,Fibonacci,71.7257906,0.661166371
Fibonacci,7,8,Fibonacci,70.75399821,0.692180096
Fibonacci,7,9,Fibonacci,76.05964808,0.715264702
Fibonacci,7,10,Fibonacci,75.14957938,0.72973843
Fibonacci,7,11,Fibonacci,76.24424636,0.7459633
Fibonacci,7,12,Fibonacci,77.83849282,0.782391574
Fibonacci,7,13,Fibonacci,81.11643764,0.821794022
Fibonacci,7,14,Fibonacci,77.96321758,0.819183171
Fibonacci,7,15,Fibonacci,81.41290995,0.857726718
Fibonacci,8,5,Fibonacci,68.74038322,0.671137449
Fibonacci,8,6,Fibonacci,70.55114557,0.681125465
Fibonacci,8,7,Fibonacci,72.21404576,0.721992395
Fibonacci,8,8,Fibonacci,75.9688689,0.746068731
Fibonacci,8,9,Fibonacci,74.6004651,0.735313085
Fibonacci,8,10,Fibonacci,76.99804232,0.737234889
Fibonacci,8,11,Fibonacci,77.27629306,0.769752876
Fibonacci,8,12,Fibonacci,81.41121114,0.813045105
Fibonacci,8,13,Fibonacci,81.28066176,0.822844172
Fibonacci,8,14,Fibonacci,83.58873459,0.802434935
Fibonacci,8,15,Fibonacci,85.27625558,0.840677269
Fibonacci,9,5,Fibonacci,69.12065017,0.688653047
Fibonacci,9,6,Fibonacci,73.46839194,0.721965121
Fibonacci,9,7,Fibonacci,75.63571195,0.715443383
Fibonacci,9,8,Fibonacci,75.11461473,0.751866981
Fibonacci,9,9,Fibonacci,77.184141,0.74571757
Fibonacci,9,10,Fibonacci,77.77833483,0.79635207
Fibonacci,9,11,Fibonacci,80.75774355,0.778979539
Fibonacci,9,12,Fibonacci,81.43697438,0.83357411
Fibonacci,9,13,Fibonacci,83.98909994,0.845834548
Fibonacci,9,14,Fibonacci,81.92419412,0.887447471
Fibonacci,9,15,Fibonacci,84.18011512,0.874285537
Fibonacci,10,5,Fibonacci,71.67504103,0.717711886
Fibonacci,10,6,Fibonacci,72.98288371,0.702907493
Fibonacci,10,7,Fibonacci,74.25748447,0.73561171
Fibonacci,10,8,Fibonacci,76.7014207,0.76683148
Fibonacci,10,9,Fibonacci,80.05508871,0.774304298
Fibonacci,10,10,Fibonacci,81.67369546,0.830335068
Fibonacci,10,11,Fibonacci,81.49117802,0.826040154
Fibonacci,10,12,Fibonacci,83.01589956,0.828033195
Fibonacci,10,13,Fibonacci,84.36997773,0.853224568
Fibonacci,10,14,Fibonacci,86.14621242,0.870421712
Fibonacci,10,15,Fibonacci,84.9473232,0.896719577
Fibonacci,11,5,Fibonacci,75.20329739,0.697971603
Fibonacci,11,6,Fibonacci,75.75591284,0.740892387
Fibonacci,11,7,Fibonacci,79.12164706,0.74767507
Fibonacci,11,8,Fibonacci,75.42977109,0.808202449
Fibonacci,11,9,Fibonacci,84.20533703,0.814052085
Fibonacci,11,10,Fibonacci,83.82479637,0.823434714
Fibonacci,11,11,Fibonacci,82.80724096,0.854341803
Fibonacci,11,12,Fibonacci,83.99612504,0.845825304
Fibonacci,11,13,Fibonacci,85.4108983,0.870495941
Fibonacci,11,14,Fibonacci,86.44976301,0.902285277
Fibonacci,11,15,Fibonacci,89.25281707,0.917446177
Fibonacci,12,5,Fibonacci,76.29764001,0.773494516
Fibonacci,12,6,Fibonacci,74.05163924,0.749924911
Fibonacci,12,7,Fibonacci,79.15587578,0.790147404
Fibonacci,12,8,Fibonacci,79.11169235,0.792754167
Fibonacci,12,9,Fibonacci,79.43119678,0.832500026
Fibonacci,12,10,Fibonacci,80.68906723,0.823226237
Fibonacci,12,11,Fibonacci,86.04119582,0.851147611
Fibonacci,12,12,Fibonacci,86.95977328,0.88444716
Fibonacci,12,13,Fibonacci,88.22185677,0.865520748
Fibonacci,12,14,Fibonacci,89.08058304,0.925520888
Fibonacci,12,15,Fibonacci,89.38772151,0.940498913
Fibonacci,13,5,Fibonacci,75.60658544,0.796079639
Fibonacci,13,6,Fibonacci,79.05857,0.804843766
Fibonacci,13,7,Fibonacci,81.40160155,0.784578447
Fibonacci,13,8,Fibonacci,83.38434285,0.816667516
Fibonacci,13,9,Fibonacci,82.24529506,0.839497706
Fibonacci,13,10,Fibonacci,84.41502615,0.862846443
Fibonacci,13,11,Fibonacci,84.6851311,0.854610904
Fibonacci,13,12,Fibonacci,88.26736828,0.915291927
Fibonacci,13,13,Fibonacci,89.00385622,0.891602212
Fibonacci,13,14,Fibonacci,91.30270032,0.908552249
Fibonacci,13,15,Fibonacci,89.74053043,0.94761161
Fibonacci,14,5,Fibonacci,77.75835942,0.790611041
Fibonacci,14,6,Fibonacci,80.40115677,0.811116041
Fibonacci,14,7,Fibonacci,79.78856908,0.808618017
Fibonacci,14,8,Fibonacci,83.90172271,0.851902603
Fibonacci,14,9,Fibonacci,81.63863661,0.89025579
Fibonacci,14,10,Fibonacci,86.12756329,0.859433888
Fibonacci,14,11,Fibonacci,88.44180133,0.901228829
Fibonacci,14,12,Fibonacci,88.54276842,0.911629881
Fibonacci,14,13,Fibonacci,89.3332727,0.971485265
Fibonacci,14,14,Fibonacci,90.60379328,0.986503619
Fibonacci,14,15,Fibonacci,92.90670115,0.964016533
Fibonacci,15,5,Fibonacci,80.45165061,0.810308517
Fibonacci,15,6,Fibonacci,79.61269245,0.786631236
Fibonacci,15,7,Fibonacci,82.44209824,0.835411783
Fibonacci,15,8,Fibonacci,85.68696008,0.847498926
Fibonacci,15,9,Fibonacci,82.24614965,0.89277111
Fibonacci,15,10,Fibonacci,84.05359321,0.916232307
Fibonacci,15,11,Fibonacci,89.80374494,0.940884967
Fibonacci,15,12,Fibonacci,91.27380803,0.918508403
Fibonacci,15,13,Fibonacci,92.58833248,0.953746516
Fibonacci,15,14,Fibonacci,94.71913235,0.976305639
Fibonacci,15,15,Fibonacci,97.60375246,0.968212544
Fibonacci,5,5,Square,65.09069146,0.591880202
Fibonacci,5,6,Square,67.22416763,0.61268852
Fibonacci,5,7,Square,67.06881043,0.645930661
Fibonacci,5,8,Square,71.18606671,0.661095315
Fibonacci,5,9,Square,70.17899595,0.710281232
Fibonacci,5,10,Square,72.67775384,0.685782088
Fibonacci,5,11,Square,73.87250141,0.760056135
Fibonacci,5,12,Square,75.38292726,0.719302331
Fibonacci,5,13,Square,80.55236852,0.743326844
Fibonacci,5,14,Square,81.04866973,0.777166184
Fibonacci,5,15,Square,80.91830168,0.779752753
Fibonacci,6,5,Square,68.38885451,0.618611211
Fibonacci,6,6,Square,69.21081646,0.617430715
Fibonacci,6,7,Square,71.468374,0.639667235
Fibonacci,6,8,Square,72.76588809,0.693912474
Fibonacci,6,9,Square,72.41324185,0.729910948
Fibonacci,6,10,Square,73.81605224,0.717303986
Fibonacci,6,11,Square,75.02535119,0.722651092
Fibonacci,6,12,Square,79.1974136,0.753924426
Fibonacci,6,13,Square,82.18925294,0.797630787
Fibonacci,6,14,Square,81.20482731,0.810045751
Fibonacci,6,15,Square,79.5949618,0.832083824
Fibonacci,7,5,Square,67.0347496,0.643625058
Fibonacci,7,6,Square,70.20075725,0.62601189
Fibonacci,7,7,Square,71.30515157,0.681466551
Fibonacci,7,8,Square,72.40642729,0.684479878
Fibonacci,7,9,Square,72.16767769,0.736035103
Fibonacci,7,10,Square,75.17308737,0.763684054
Fibonacci,7,11,Square,77.22813947,0.756439182
Fibonacci,7,12,Square,77.5664332,0.795426592
Fibonacci,7,13,Square,81.36494111,0.765695938
Fibonacci,7,14,Square,83.57666147,0.817066118
Fibonacci,7,15,Square,83.16724593,0.829078946
Fibonacci,8,5,Square,68.20684608,0.653017762
Fibonacci,8,6,Square,72.62929456,0.654204518
Fibonacci,8,7,Square,75.08280024,0.681689681
Fibonacci,8,8,Square,76.93909542,0.728163249
Fibonacci,8,9,Square,76.77412757,0.715513936
Fibonacci,8,10,Square,76.37886476,0.731952907
Fibonacci,8,11,Square,78.67490026,0.761459908
Fibonacci,8,12,Square,78.63290088,0.823036902
Fibonacci,8,13,Square,81.0143841,0.824672738
Fibonacci,8,14,Square,83.41246239,0.834459062
Fibonacci,8,15,Square,85.75096179,0.83250314
Fibonacci,9,5,Square,71.38126196,0.707753336
Fibonacci,9,6,Square,75.04762565,0.64850977
Fibonacci,9,7,Square,75.34254451,0.704810508
Fibonacci,9,8,Square,77.18727021,0.739907289
Fibonacci,9,9,Square,77.43282148,0.733864909
Fibonacci,9,10,Square,77.7139142,0.790163103
Fibonacci,9,11,Square,82.59528488,0.867276934
Fibonacci,9,12,Square,80.29551556,0.818346215
Fibonacci,9,13,Square,83.44232154,0.803223554
Fibonacci,9,14,Square,85.67575475,0.851306306
Fibonacci,9,15,Square,87.51161891,0.891308145
Fibonacci,10,5,Square,73.42252939,0.69174175
Fibonacci,10,6,Square,73.37765857,0.745492093
Fibonacci,10,7,Square,74.38203459,0.734903966
Fibonacci,10,8,Square,79.65419402,0.781065847
Fibonacci,10,9,Square,78.64678921,0.772863857
Fibonacci,10,10,Square,80.20199155,0.812120271
Fibonacci,10,11,Square,80.64339113,0.795487408
Fibonacci,10,12,Square,83.33069295,0.848776605
Fibonacci,10,13,Square,84.26837968,0.864966215
Fibonacci,10,14,Square,87.72889933,0.904081486
Fibonacci,10,15,Square,86.14258478,0.90334609
Fibonacci,11,5,Square,72.89867848,0.749503975
Fibonacci,11,6,Square,74.17247429,0.743303162
Fibonacci,11,7,Square,75.88402651,0.75245853
Fibonacci,11,8,Square,79.16637553,0.787778314
Fibonacci,11,9,Square,79.94224637,0.829664739
Fibonacci,11,10,Square,83.21599538,0.812072322
Fibonacci,11,11,Square,82.68528232,0.859986644
Fibonacci,11,12,Square,81.41871911,0.870625794
Fibonacci,11,13,Square,87.9235125,0.917760019
Fibonacci,11,14,Square,88.18731623,0.894518406
Fibonacci,11,15,Square,87.32741166,0.950718137
Fibonacci,12,5,Square,75.17965587,0.734714219
Fibonacci,12,6,Square,78.47283204,0.759342265
Fibonacci,12,7,Square,78.2323217,0.795671699
Fibonacci,12,8,Square,80.68331708,0.793528496
Fibonacci,12,9,Square,81.12871658,0.818249396
Fibonacci,12,10,Square,84.83155106,0.83744847
Fibonacci,12,11,Square,86.92421978,0.882279236
Fibonacci,12,12,Square,85.11650756,0.874990897
Fibonacci,12,13,Square,88.80713206,0.873955252
Fibonacci,12,14,Square,90.72114047,0.902044912
Fibonacci,12,15,Square,90.87512061,0.938523772
Fibonacci,13,5,Square,78.22043615,0.7217666
Fibonacci,13,6,Square,79.02252552,0.760501304
Fibonacci,13,7,Square,78.99572972,0.789391392
Fibonacci,13,8,Square,82.30599633,0.814465486
Fibonacci,13,9,Square,83.10930599,0.849005155
Fibonacci,13,10,Square,86.97048054,0.848082582
Fibonacci,13,11,Square,83.73480092,0.915322961
Fibonacci,13,12,Square,88.04538849,0.887091634
Fibonacci,13,13,Square,88.85719897,0.924236
Fibonacci,13,14,Square,90.04513828,0.908183538
Fibonacci,13,15,Square,91.68611708,0.979961178
Fibonacci,14,5,Square,78.10275596,0.757673713
Fibonacci,14,6,Square,77.57689432,0.801375209
Fibonacci,14,7,Square,80.75793882,0.789307746
Fibonacci,14,8,Square,85.46984371,0.844760384
Fibonacci,14,9,Square,83.45188491,0.873222438
Fibonacci,14,10,Square,85.52172995,0.858941636
Fibonacci,14,11,Square,88.76066883,0.839897275
Fibonacci,14,12,Square,89.63201875,0.936213842
Fibonacci,14,13,Square,91.1076592,0.895580524
