convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,5,5,Fibonacci,62.9195028,0.572990289
Fibonacci,5,6,Fibonacci,67.51111972,0.623895527
Fibonacci,5,7,Fibonacci,68.08132032,0.652040147
Fibonacci,5,8,Fibonacci,67.35680073,0.651338127
Fibonacci,5,9,Fibonacci,71.2000696,0.677819219
Fibonacci,5,10,Fibonacci,72.24778572,0.687119604
Fibonacci,5,11,Fibonacci,73.07796277,0.732616478
Fibonacci,5,12,Fibonacci,74.27286424,0.751124399
Fibonacci,5,13,Fibonacci,77.63746924,0.748871066
Fibonacci,5,14,Fibonacci,77.76080634,0.746171314
Fibonacci,5,15,Fibonacci,80.59109746,0.811857881
Fibonacci,6,5,Fibonacci,64.69524614,0.578640903
Fibonacci,6,6,Fibonacci,66.8214258,0.654953033
Fibonacci,6,7,Fibonacci,69.18627994,0.659922391
Fibonacci,6,8,Fibonacci,73.06436059,0.698378845
Fibonacci,6,9,Fibonacci,72.98054432,0.727476285
Fibonacci,6,10,Fibonacci,75.42649269,0.667683784
Fibonacci,6,11,Fibonacci,75.76809444,0.769839506
Fibonacci,6,12,Fibonacci,74.94397931,0.762737294
Fibonacci,6,13,Fibonacci,79.43659773,0.812295113
Fibonacci,6,14,Fibonacci,81.25288621,0.80258012
Fibonacci,6,15,Fibonacci,80.59690903,0.786435238
Fibonacci,7,5,Fibonacci,68.31631602,0.629621628
Fibonacci,7,6,Fibonacci,68.48612614,0.682758646
Fibonacci,7,7,Fibonacci,69.30546479,0.688249113
Fibonacci,7,8,Fibonacci,71.92172423,0.705221603
Fibonacci,7,9,Fibonacci,71.66402208,0.732748965
Fibonacci,7,10,Fibonacci,77.50141509,0.761822705
Fibonacci,7,11,Fibonacci,77.34728345,0.778368065
Fibonacci,7,12,Fibonacci,77.75653604,0.792222991
Fibonacci,7,13,Fibonacci,79.9111525,0.80535898
Fibonacci,7,14,Fibonacci,81.75896655,0.831452869
Fibonacci,7,15,Fibonacci,85.76567054,0.861250884
Fibonacci,8,5,Fibonacci,67.93204979,0.659610203
Fibonacci,8,6,Fibonacci,73.55615826,0.665550646
Fibonacci,8,7,Fibonacci,75.39164534,0.679936961
Fibonacci,8,8,Fibonacci,74.71301302,0.694178623
Fibonacci,8,9,Fibonacci,73.81480114,0.722819306
Fibonacci,8,10,Fibonacci,77.72012014,0.773008381
Fibonacci,8,11,Fibonacci,78.71015929,0.741677005
Fibonacci,8,12,Fibonacci,79.56620182,0.792999318
Fibonacci,8,13,Fibonacci,79.49544106,0.804037351
Fibonacci,8,14,Fibonacci,81.37922026,0.868466477
Fibonacci,8,15,Fibonacci,81.9271751,0.882001167
Fibonacci,9,5,Fibonacci,75.28377571,0.67689887
Fibonacci,9,6,Fibonacci,72.17909152,0.712487139
Fibonacci,9,7,Fibonacci,71.65530624,0.70388171
Fibonacci,9,8,Fibonacci,75.93011778,0.740017935
Fibonacci,9,9,Fibonacci,79.83832032,0.768304143
Fibonacci,9,10,Fibonacci,79.75433753,0.792506939
Fibonacci,9,11,Fibonacci,76.131515,0.795178938
Fibonacci,9,12,Fibonacci,82.2372653,0.836661447
Fibonacci,9,13,Fibonacci,85.38276986,0.830389223
Fibonacci,9,14,Fibonacci,85.55130029,0.839509251
Fibonacci,9,15,Fibonacci,85.5917551,0.862059742
Fibonacci,10,5,Fibonacci,72.73954295,0.683851219
Fibonacci,10,6,Fibonacci,74.36585898,0.736248093
Fibonacci,10,7,Fibonacci,74.06926427,0.755974667
Fibonacci,10,8,Fibonacci,76.72448635,0.776932286
Fibonacci,10,9,Fibonacci,81.09786397,0.778953489
Fibonacci,10,10,Fibonacci,80.38862558,0.790518451
Fibonacci,10,11,Fibonacci,82.84029541,0.807272034
Fibonacci,10,12,Fibonacci,82.68208197,0.851204906
Fibonacci,10,13,Fibonacci,84.98331376,0.852733929
Fibonacci,10,14,Fibonacci,87.00240324,0.907406659
Fibonacci,10,15,Fibonacci,86.09675686,0.872347499
Fibonacci,11,5,Fibonacci,73.06192795,0.722413693
Fibonacci,11,6,Fibonacci,76.65327335,0.749925536
Fibonacci,11,7,Fibonacci,78.17338898,0.78289183
Fibonacci,11,8,Fibonacci,78.37469,0.765915236
Fibonacci,11,9,Fibonacci,80.35347536,0.815494213
Fibonacci,11,10,Fibonacci,81.66626067,0.784297797
Fibonacci,11,11,Fibonacci,85.60408396,0.815601618
Fibonacci,11,12,Fibonacci,84.6252951,0.867711567
Fibonacci,11,13,Fibonacci,85.7969234,0.849185828
Fibonacci,11,14,Fibonacci,87.90606205,0.944211452
Fibonacci,11,15,Fibonacci,87.94416632,0.915922651
Fibonacci,12,5,Fibonacci,76.74487228,0.76094968
Fibonacci,12,6,Fibonacci,78.34826259,0.776819225
Fibonacci,12,7,Fibonacci,77.27427318,0.78818216
Fibonacci,12,8,Fibonacci,81.35997222,0.778728836
Fibonacci,12,9,Fibonacci,82.03920654,0.833327264
Fibonacci,12,10,Fibonacci,83.88838329,0.837420918
Fibonacci,12,11,Fibonacci,84.32655806,0.82936207
Fibonacci,12,12,Fibonacci,84.87767077,0.88892704
Fibonacci,12,13,Fibonacci,86.99014416,0.862791043
Fibonacci,12,14,Fibonacci,88.83726481,0.894804527
Fibonacci,12,15,Fibonacci,89.94938384,0.941006039
Fibonacci,13,5,Fibonacci,76.82334201,0.761011518
Fibonacci,13,6,Fibonacci,76.29380835,0.790711473
Fibonacci,13,7,Fibonacci,79.79789505,0.793335799
Fibonacci,13,8,Fibonacci,83.99677995,0.839124979
Fibonacci,13,9,Fibonacci,81.2775244,0.830808393
Fibonacci,13,10,Fibonacci,84.43143853,0.828852992
Fibonacci,13,11,Fibonacci,85.28294649,0.878800926
Fibonacci,13,12,Fibonacci,86.55754123,0.902868921
Fibonacci,13,13,Fibonacci,92.05311095,0.939920055
Fibonacci,13,14,Fibonacci,91.49652161,0.963104691
Fibonacci,13,15,Fibonacci,87.90014028,0.989151804
