convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,5,5,Fibonacci,65.52336179,0.565679258
Fibonacci,5,6,Fibonacci,69.30108242,0.639734914
Fibonacci,5,7,Fibonacci,68.84747903,0.657431252
Fibonacci,5,8,Fibonacci,68.80529396,0.684148211
Fibonacci,5,9,Fibonacci,70.83408379,0.68064778
Fibonacci,5,10,Fibonacci,72.87663004,0.663507413
Fibonacci,5,11,Fibonacci,76.61286082,0.718733672
Fibonacci,5,12,Fibonacci,73.85491258,0.752107802
Fibonacci,5,13,Fibonacci,76.68837682,0.753410773
Fibonacci,5,14,Fibonacci,80.75782229,0.771851571
Fibonacci,5,15,Fibonacci,80.20622868,0.81379486
Fibonacci,6,5,Fibonacci,69.89367716,0.589672742
Fibonacci,6,6,Fibonacci,68.87715433,0.681290141
Fibonacci,6,7,Fibonacci,68.22121037,0.673479317
Fibonacci,6,8,Fibonacci,71.34330658,0.667952674
Fibonacci,6,9,Fibonacci,72.8223876,0.70961945
Fibonacci,6,10,Fibonacci,75.72574221,0.716826303
Fibonacci,6,11,Fibonacci,73.68283757,0.740072131
Fibonacci,6,12,Fibonacci,79.01926884,0.733871188
Fibonacci,6,13,Fibonacci,78.4136557,0.77629793
Fibonacci,6,14,Fibonacci,78.59117252,0.804994101
Fibonacci,6,15,Fibonacci,85.287792,0.807684858
Fibonacci,7,5,Fibonacci,66.88967349,0.630752666
Fibonacci,7,6,Fibonacci,69.6796034,0.644402
Fibonacci,7,7,Fibonacci,70.32994978,0.676401966
Fibonacci,7,8,Fibonacci,74.76523727,0.697200653
Fibonacci,7,9,Fibonacci,75.59264291,0.742471392
Fibonacci,7,10,Fibonacci,76.94088027,0.744389262
Fibonacci,7,11,Fibonacci,78.48785847,0.761448618
Fibonacci,7,12,Fibonacci,77.22219615,0.753269456
Fibonacci,7,13,Fibonacci,80.87632672,0.806372601
Fibonacci,7,14,Fibonacci,79.58890183,0.81334508
Fibonacci,7,15,Fibonacci,82.84268101,0.832628009
Fibonacci,8,5,Fibonacci,70.92111689,0.621050284
Fibonacci,8,6,Fibonacci,70.31558204,0.674852909
Fibonacci,8,7,Fibonacci,72.99205692,0.698425526
Fibonacci,8,8,Fibonacci,72.31888925,0.724524808
Fibonacci,8,9,Fibonacci,75.15460654,0.712047189
Fibonacci,8,10,Fibonacci,76.88473235,0.717477822
Fibonacci,8,11,Fibonacci,79.80104825,0.78136138
Fibonacci,8,12,Fibonacci,80.64059412,0.781876599
Fibonacci,8,13,Fibonacci,79.09841746,0.792465255
Fibonacci,8,14,Fibonacci,83.816632,0.815218927
Fibonacci,8,15,Fibonacci,82.87883873,0.863419509
Fibonacci,9,5,Fibonacci,67.2049651,0.671328321
Fibonacci,9,6,Fibonacci,69.75902288,0.719457462
Fibonacci,9,7,Fibonacci,75.07335628,0.698268546
Fibonacci,9,8,Fibonacci,74.43755455,0.736587056
Fibonacci,9,9,Fibonacci,76.86817041,0.752310666
Fibonacci,9,10,Fibonacci,76.76614949,0.797887068
Fibonacci,9,11,Fibonacci,77.64904463,0.757972176
Fibonacci,9,12,Fibonacci,81.08015244,0.816637645
Fibonacci,9,13,Fibonacci,83.19034427,0.837748419
Fibonacci,9,14,Fibonacci,82.69766126,0.898265033
Fibonacci,9,15,Fibonacci,86.53739569,0.86919816
Fibonacci,10,5,Fibonacci,74.14340582,0.697262905
Fibonacci,10,6,Fibonacci,75.82308322,0.710405016
Fibonacci,10,7,Fibonacci,74.6257631,0.775484411
Fibonacci,10,8,Fibonacci,75.57303359,0.767782647
Fibonacci,10,9,Fibonacci,76.60053786,0.77396092
Fibonacci,10,10,Fibonacci,79.14309788,0.8351268
Fibonacci,10,11,Fibonacci,81.25566465,0.837608343
Fibonacci,10,12,Fibonacci,83.54489153,0.824150383
Fibonacci,10,13,Fibonacci,83.63338244,0.877919068
Fibonacci,10,14,Fibonacci,83.85891895,0.851302209
Fibonacci,10,15,Fibonacci,86.4864564,0.909854766
Fibonacci,11,5,Fibonacci,70.12482033,0.738955668
Fibonacci,11,6,Fibonacci,75.840732,0.739804623
Fibonacci,11,7,Fibonacci,78.13475155,0.744192458
Fibonacci,11,8,Fibonacci,77.53228406,0.771828626
Fibonacci,11,9,Fibonacci,82.20526794,0.803384104
Fibonacci,11,10,Fibonacci,83.26809767,0.819459906
Fibonacci,11,11,Fibonacci,83.31126825,0.841503493
Fibonacci,11,12,Fibonacci,84.31745527,0.846939495
Fibonacci,11,13,Fibonacci,84.89132168,0.880013084
Fibonacci,11,14,Fibonacci,86.40447042,0.881016338
Fibonacci,11,15,Fibonacci,89.22132368,0.898930326
Fibonacci,12,5,Fibonacci,78.41780555,0.741164684
Fibonacci,12,6,Fibonacci,75.89511755,0.737484528
Fibonacci,12,7,Fibonacci,79.02066557,0.796729743
Fibonacci,12,8,Fibonacci,81.13934815,0.798364481
Fibonacci,12,9,Fibonacci,82.18771522,0.811285091
Fibonacci,12,10,Fibonacci,83.62707519,0.823469878
Fibonacci,12,11,Fibonacci,83.20995234,0.864577367
Fibonacci,12,12,Fibonacci,84.2639446,0.8738335
Fibonacci,12,13,Fibonacci,86.80005343,0.902538005
Fibonacci,12,14,Fibonacci,88.97785317,0.932188875
Fibonacci,12,15,Fibonacci,94.34553169,0.97291106
Fibonacci,13,5,Fibonacci,76.18451771,0.773535217
Fibonacci,13,6,Fibonacci,78.35228358,0.770489144
Fibonacci,13,7,Fibonacci,77.38142245,0.794063691
Fibonacci,13,8,Fibonacci,81.96000697,0.78442049
Fibonacci,13,9,Fibonacci,83.30747506,0.838230372
Fibonacci,13,10,Fibonacci,83.64282385,0.849579543
Fibonacci,13,11,Fibonacci,86.12190174,0.879723305
Fibonacci,13,12,Fibonacci,85.2112356,0.899002936
Fibonacci,13,13,Fibonacci,86.45717139,0.943783
Fibonacci,13,14,Fibonacci,87.20320765,0.954893938
Fibonacci,13,15,Fibonacci,92.76330069,0.909897157
Fibonacci,14,5,Fibonacci,78.58080988,0.775975939
Fibonacci,14,6,Fibonacci,81.98238053,0.846456521
Fibonacci,14,7,Fibonacci,82.34227246,0.842558306
Fibonacci,14,8,Fibonacci,83.99932089,0.848163551
Fibonacci,14,9,Fibonacci,85.26112549,0.874444656
Fibonacci,14,10,Fibonacci,85.26523497,0.885021524
Fibonacci,14,11,Fibonacci,89.59245644,0.877858594
Fibonacci,14,12,Fibonacci,87.37831349,0.940497688
Fibonacci,14,13,Fibonacci,88.49736939,0.941970967
Fibonacci,14,14,Fibonacci,90.65947254,0.956654526
Fibonacci,14,15,Fibonacci,92.43625291,0.97606645
Fibonacci,15,5,Fibonacci,81.30840519,0.81795166
Fibonacci,15,6,Fibonacci,80.88777817,0.816309548
Fibonacci,15,7,Fibonacci,83.89882952,0.85356897
Fibonacci,15,8,Fibonacci,85.20431235,0.892622314
Fibonacci,15,9,Fibonacci,85.49488314,0.90065093
Fibonacci,15,10,Fibonacci,86.90336832,0.911263237
Fibonacci,15,11,Fibonacci,90.55601239,0.94386503
Fibonacci,15,12,Fibonacci,89.04870342,0.981532414
Fibonacci,15,13,Fibonacci,92.86569394,0.958195633
Fibonacci,15,14,Fibonacci,93.43104463,1.02180156
Fibonacci,15,15,Fibonacci,94.95825146,1.000674737
Fibonacci,5,5,Square,65.05694444,0.579726237
Fibonacci,5,6,Square,66.34571858,0.607288483
Fibonacci,5,7,Square,68.28174564,0.644643814
Fibonacci,5,8,Square,71.2586091,0.699038169
Fibonacci,5,9,Square,70.95467706,0.691892925
Fibonacci,5,10,Square,72.13928705,0.700923262
Fibonacci,5,11,Square,72.90926116,0.750571145
Fibonacci,5,12,Square,74.83542018,0.743992748
Fibonacci,5,13,Square,75.11237859,0.786322118
Fibonacci,5,14,Square,78.29556202,0.771712394
Fibonacci,5,15,Square,79.3395613,0.809609283
Fibonacci,6,5,Square,64.95822287,0.650736141
Fibonacci,6,6,Square,69.6468937,0.639350018
Fibonacci,6,7,Square,68.44982181,0.640359479
Fibonacci,6,8,Square,71.28810613,0.719862625
Fibonacci,6,9,Square,72.8016321,0.689616448
Fibonacci,6,10,Square,71.66371411,0.736909467
Fibonacci,6,11,Square,79.18105648,0.748227394
Fibonacci,6,12,Square,76.53858741,0.754022855
Fibonacci,6,13,Square,78.65574116,0.794261392
Fibonacci,6,14,Square,80.36486357,0.822139838
Fibonacci,6,15,Square,79.77233414,0.79687097
Fibonacci,7,5,Square,68.65528979,0.630508313
Fibonacci,7,6,Square,66.79991636,0.646359938
Fibonacci,7,7,Square,74.35470663,0.709059771
Fibonacci,7,8,Square,72.2970391,0.718659591
Fibonacci,7,9,Square,74.3651514,0.710499766
Fibonacci,7,10,Square,75.24050242,0.717244589
Fibonacci,7,11,Square,76.25451334,0.753402154
Fibonacci,7,12,Square,77.658647,0.786362934
Fibonacci,7,13,Square,79.85569306,0.792447742
Fibonacci,7,14,Square,80.94649485,0.793220623
Fibonacci,7,15,Square,81.88038674,0.828885179
Fibonacci,8,5,Square,67.68032989,0.648028373
Fibonacci,8,6,Square,72.08545683,0.701316804
Fibonacci,8,7,Square,72.69336023,0.698611955
Fibonacci,8,8,Square,71.64949029,0.764054339
Fibonacci,8,9,Square,74.76501714,0.741622502
Fibonacci,8,10,Square,76.580636,0.774804508
Fibonacci,8,11,Square,80.15829071,0.796004015
Fibonacci,8,12,Square,80.35149978,0.798051793
Fibonacci,8,13,Square,82.30599963,0.794702046
Fibonacci,8,14,Square,82.99556084,0.826625902
Fibonacci,8,15,Square,81.10788156,0.885428143
Fibonacci,9,5,Square,72.81196475,0.697247646
Fibonacci,9,6,Square,73.1722739,0.658877507
Fibonacci,9,7,Square,73.50691937,0.737017985
Fibonacci,9,8,Square,73.36580782,0.733834125
Fibonacci,9,9,Square,78.55090416,0.784427561
Fibonacci,9,10,Square,78.66695524,0.769811528
Fibonacci,9,11,Square,81.49793256,0.836908305
Fibonacci,9,12,Square,80.35077286,0.788178931
Fibonacci,9,13,Square,81.65639761,0.834995555
Fibonacci,9,14,Square,86.34826903,0.894971309
Fibonacci,9,15,Square,88.86398196,0.921281055
Fibonacci,10,5,Square,71.66342181,0.671288849
Fibonacci,10,6,Square,72.44439967,0.728417655
Fibonacci,10,7,Square,74.61244576,0.700549558
Fibonacci,10,8,Square,75.79743921,0.756246925
Fibonacci,10,9,Square,79.32561335,0.80184794
Fibonacci,10,10,Square,80.0962292,0.783270131
Fibonacci,10,11,Square,81.13525184,0.794549485
Fibonacci,10,12,Square,80.84755821,0.882403089
Fibonacci,10,13,Square,87.16246473,0.901762396
Fibonacci,10,14,Square,84.14270525,0.860969703
Fibonacci,10,15,Square,86.40323071,0.924978345
Fibonacci,11,5,Square,74.80336283,0.736147367
Fibonacci,11,6,Square,77.33250227,0.729748663
Fibonacci,11,7,Square,75.42056812,0.783370149
Fibonacci,11,8,Square,79.55550593,0.789553281
Fibonacci,11,9,Square,76.14863677,0.804913014
Fibonacci,11,10,Square,82.56089563,0.817594671
Fibonacci,11,11,Square,80.31107507,0.813672974
Fibonacci,11,12,Square,84.4566924,0.839129599
Fibonacci,11,13,Square,86.59941052,0.882317733
Fibonacci,11,14,Square,88.43897757,0.922746355
Fibonacci,11,15,Square,88.79716135,0.909086347
