convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,5,5,Fibonacci,65.35961716,0.611119676
Fibonacci,5,6,Fibonacci,65.79759044,0.61709114
Fibonacci,5,7,Fibonacci,68.69700113,0.633035655
Fibonacci,5,8,Fibonacci,66.35714268,0.684204552
Fibonacci,5,9,Fibonacci,71.49792747,0.690467984
Fibonacci,5,10,Fibonacci,72.35472611,0.721253287
Fibonacci,5,11,Fibonacci,75.97853029,0.727649134
Fibonacci,5,12,Fibonacci,78.94426757,0.736623552
Fibonacci,5,13,Fibonacci,77.59207305,0.761355771
Fibonacci,5,14,Fibonacci,79.27065549,0.805907939
Fibonacci,5,15,Fibonacci,81.63254927,0.789983876
Fibonacci,6,5,Fibonacci,68.56253018,0.628838783
Fibonacci,6,6,Fibonacci,69.73355205,0.646742984
Fibonacci,6,7,Fibonacci,69.79146742,0.652706653
Fibonacci,6,8,Fibonacci,71.39409221,0.69163842
Fibonacci,6,9,Fibonacci,74.0371772,0.705419973
Fibonacci,6,10,Fibonacci,73.98005961,0.698225161
Fibonacci,6,11,Fibonacci,77.9717614,0.700123798
Fibonacci,6,12,Fibonacci,77.41497442,0.757586366
Fibonacci,6,13,Fibonacci,78.6195465,0.799984351
Fibonacci,6,14,Fibonacci,80.85773606,0.810962096
Fibonacci,6,15,Fibonacci,83.30324597,0.80644675
Fibonacci,7,5,Fibonacci,69.44124912,0.6133032
Fibonacci,7,6,Fibonacci,70.42898292,0.651605345
Fibonacci,7,7,Fibonacci,71.08159515,0.690479352
Fibonacci,7,8,Fibonacci,74.03336105,0.695034682
Fibonacci,7,9,Fibonacci,73.67851159,0.718214447
Fibonacci,7,10,Fibonacci,76.25922521,0.728560831
Fibonacci,7,11,Fibonacci,76.67429738,0.747445983
Fibonacci,7,12,Fibonacci,80.14617141,0.749632197
Fibonacci,7,13,Fibonacci,80.9267423,0.769850366
Fibonacci,7,14,Fibonacci,81.71442049,0.794509048
Fibonacci,7,15,Fibonacci,83.0339586,0.841662092
Fibonacci,8,5,Fibonacci,70.18211289,0.694966274
Fibonacci,8,6,Fibonacci,68.1278266,0.670064343
Fibonacci,8,7,Fibonacci,72.04937878,0.715053103
Fibonacci,8,8,Fibonacci,73.55396377,0.726983125
Fibonacci,8,9,Fibonacci,75.84257708,0.759389369
Fibonacci,8,10,Fibonacci,77.55082198,0.744993539
Fibonacci,8,11,Fibonacci,77.71296763,0.796727643
Fibonacci,8,12,Fibonacci,81.04358041,0.798342392
Fibonacci,8,13,Fibonacci,80.85432612,0.808083138
Fibonacci,8,14,Fibonacci,82.72817974,0.844118166
Fibonacci,8,15,Fibonacci,84.74956387,0.845395111
Fibonacci,9,5,Fibonacci,71.0753382,0.691327467
Fibonacci,9,6,Fibonacci,71.84780583,0.68965342
Fibonacci,9,7,Fibonacci,72.83619301,0.728394228
Fibonacci,9,8,Fibonacci,76.04772849,0.721872635
Fibonacci,9,9,Fibonacci,73.03524879,0.756385492
Fibonacci,9,10,Fibonacci,78.8861826,0.796254158
Fibonacci,9,11,Fibonacci,78.58792732,0.806561359
Fibonacci,9,12,Fibonacci,81.60043219,0.845473752
Fibonacci,9,13,Fibonacci,83.4846062,0.836463086
Fibonacci,9,14,Fibonacci,82.39964312,0.857199695
Fibonacci,9,15,Fibonacci,86.70864251,0.84486673
Fibonacci,10,5,Fibonacci,70.55893821,0.702286502
Fibonacci,10,6,Fibonacci,72.71345486,0.703751039
Fibonacci,10,7,Fibonacci,79.53638664,0.69860861
Fibonacci,10,8,Fibonacci,75.98521301,0.753919122
Fibonacci,10,9,Fibonacci,77.84295958,0.797097348
Fibonacci,10,10,Fibonacci,79.22025063,0.763047705
Fibonacci,10,11,Fibonacci,83.08142597,0.823092038
Fibonacci,10,12,Fibonacci,83.7956541,0.818795462
Fibonacci,10,13,Fibonacci,84.25474075,0.851026444
Fibonacci,10,14,Fibonacci,86.84686582,0.855619194
Fibonacci,10,15,Fibonacci,88.149147,0.938364413
Fibonacci,11,5,Fibonacci,75.5474125,0.711191361
Fibonacci,11,6,Fibonacci,76.38805518,0.730638704
Fibonacci,11,7,Fibonacci,72.61336851,0.765740676
Fibonacci,11,8,Fibonacci,75.98686006,0.785735599
Fibonacci,11,9,Fibonacci,79.17006516,0.823843645
Fibonacci,11,10,Fibonacci,80.18643743,0.803709828
Fibonacci,11,11,Fibonacci,84.19556459,0.854375431
Fibonacci,11,12,Fibonacci,84.84666123,0.864752524
Fibonacci,11,13,Fibonacci,85.43993129,0.875154559
Fibonacci,11,14,Fibonacci,89.07865392,0.899270565
Fibonacci,11,15,Fibonacci,86.58760605,0.887477677
Fibonacci,12,5,Fibonacci,76.59464374,0.742083397
Fibonacci,12,6,Fibonacci,78.58800107,0.767815065
Fibonacci,12,7,Fibonacci,80.03562521,0.755566949
Fibonacci,12,8,Fibonacci,80.88447225,0.806430291
Fibonacci,12,9,Fibonacci,81.84811433,0.829550952
Fibonacci,12,10,Fibonacci,85.73425035,0.84377485
Fibonacci,12,11,Fibonacci,82.76366109,0.846455217
Fibonacci,12,12,Fibonacci,84.44243059,0.888605553
Fibonacci,12,13,Fibonacci,85.42527902,0.888905859
Fibonacci,12,14,Fibonacci,89.52758204,0.953415299
Fibonacci,12,15,Fibonacci,92.0820224,0.970703492
Fibonacci,13,5,Fibonacci,76.26675921,0.77463769
Fibonacci,13,6,Fibonacci,78.45125106,0.759662807
Fibonacci,13,7,Fibonacci,80.13575864,0.80632059
Fibonacci,13,8,Fibonacci,84.59952859,0.82793075
Fibonacci,13,9,Fibonacci,83.14107805,0.888345336
Fibonacci,13,10,Fibonacci,85.94022546,0.86845897
Fibonacci,13,11,Fibonacci,88.25055303,0.896198352
Fibonacci,13,12,Fibonacci,87.14416385,0.88388429
Fibonacci,13,13,Fibonacci,87.85960442,0.948752356
Fibonacci,13,14,Fibonacci,89.31649825,0.935139874
Fibonacci,13,15,Fibonacci,93.98458022,0.976949028
Fibonacci,14,5,Fibonacci,79.37333406,0.782947582
Fibonacci,14,6,Fibonacci,79.99793722,0.804700683
Fibonacci,14,7,Fibonacci,83.54136569,0.834266919
Fibonacci,14,8,Fibonacci,83.24372757,0.840795003
Fibonacci,14,9,Fibonacci,83.91000612,0.867316445
Fibonacci,14,10,Fibonacci,86.4249168,0.898363116
Fibonacci,14,11,Fibonacci,87.41700157,0.884336906
Fibonacci,14,12,Fibonacci,89.53586002,0.944048492
Fibonacci,14,13,Fibonacci,92.42664281,0.924697318
Fibonacci,14,14,Fibonacci,91.65160387,0.957583543
Fibonacci,14,15,Fibonacci,95.25340666,0.974197292
Fibonacci,15,5,Fibonacci,78.61323527,0.786952046
Fibonacci,15,6,Fibonacci,81.56403549,0.820348921
Fibonacci,15,7,Fibonacci,79.73662113,0.83053749
Fibonacci,15,8,Fibonacci,85.18121905,0.885125873
Fibonacci,15,9,Fibonacci,84.90307554,0.853708568
Fibonacci,15,10,Fibonacci,90.20425176,0.899600213
Fibonacci,15,11,Fibonacci,90.68681952,0.932629344
Fibonacci,15,12,Fibonacci,93.00740105,0.935013494
Fibonacci,15,13,Fibonacci,91.86542624,0.953338971
Fibonacci,15,14,Fibonacci,90.30818528,1.009453902
Fibonacci,15,15,Fibonacci,94.74965065,0.977339757
Fibonacci,5,5,Square,62.64437201,0.592918879
Fibonacci,5,6,Square,65.03069252,0.626046562
Fibonacci,5,7,Square,66.05809315,0.601528174
Fibonacci,5,8,Square,68.76622006,0.637085455
Fibonacci,5,9,Square,68.50073599,0.667767862
Fibonacci,5,10,Square,69.68055209,0.707017791
Fibonacci,5,11,Square,74.11699422,0.718184837
Fibonacci,5,12,Square,75.89598709,0.724295475
Fibonacci,5,13,Square,77.25402436,0.758804848
Fibonacci,5,14,Square,79.48756902,0.740312839
Fibonacci,5,15,Square,77.57734013,0.807207679
Fibonacci,6,5,Square,67.1268797,0.624801293
Fibonacci,6,6,Square,69.46756267,0.617351855
Fibonacci,6,7,Square,68.82535578,0.670870989
Fibonacci,6,8,Square,69.21726798,0.661469665
Fibonacci,6,9,Square,73.60443153,0.694958759
Fibonacci,6,10,Square,73.76966565,0.708910562
Fibonacci,6,11,Square,74.22264815,0.713392544
Fibonacci,6,12,Square,75.55484327,0.757758248
Fibonacci,6,13,Square,80.14827336,0.754135384
Fibonacci,6,14,Square,79.37974204,0.778813334
Fibonacci,6,15,Square,81.65383447,0.799779438
Fibonacci,7,5,Square,67.85852519,0.65362082
Fibonacci,7,6,Square,71.01580132,0.658885286
Fibonacci,7,7,Square,70.46713554,0.652795306
Fibonacci,7,8,Square,75.98699985,0.694642088
Fibonacci,7,9,Square,76.0525965,0.719138222
Fibonacci,7,10,Square,76.93529148,0.74260925
Fibonacci,7,11,Square,78.44320879,0.737282531
Fibonacci,7,12,Square,78.05210064,0.812981849
Fibonacci,7,13,Square,76.40933144,0.798274538
Fibonacci,7,14,Square,80.85817086,0.834715584
Fibonacci,7,15,Square,80.96878417,0.858543462
Fibonacci,8,5,Square,70.21119804,0.718063839
Fibonacci,8,6,Square,70.27458885,0.695721289
Fibonacci,8,7,Square,72.62872212,0.718900623
Fibonacci,8,8,Square,74.52432875,0.712352771
Fibonacci,8,9,Square,75.87518485,0.732245345
Fibonacci,8,10,Square,78.01210443,0.772955723
Fibonacci,8,11,Square,78.63910281,0.807193156
Fibonacci,8,12,Square,79.54630894,0.843510605
Fibonacci,8,13,Square,82.08411661,0.804810763
Fibonacci,8,14,Square,83.52783554,0.840526101
Fibonacci,8,15,Square,83.7551878,0.856759236
Fibonacci,9,5,Square,72.87537255,0.650385299
Fibonacci,9,6,Square,71.73742673,0.68753847
Fibonacci,9,7,Square,73.09557404,0.715958925
Fibonacci,9,8,Square,75.48386119,0.748838403
Fibonacci,9,9,Square,76.44397656,0.747049356
Fibonacci,9,10,Square,80.98648638,0.794431957
Fibonacci,9,11,Square,80.60024033,0.790981808
Fibonacci,9,12,Square,82.65222303,0.835516009
Fibonacci,9,13,Square,80.37961496,0.883104804
Fibonacci,9,14,Square,86.45744373,0.87859303
Fibonacci,9,15,Square,85.669847,0.868062325
Fibonacci,10,5,Square,72.24955807,0.70389113
Fibonacci,10,6,Square,74.19345762,0.720839385
