convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,5,5,Fibonacci,67.2834257,0.595166484
Fibonacci,5,6,Fibonacci,64.8764489,0.645789975
Fibonacci,5,7,Fibonacci,67.98810823,0.662041109
Fibonacci,5,8,Fibonacci,68.05615692,0.666906691
Fibonacci,5,9,Fibonacci,76.13349486,0.721745215
Fibonacci,5,10,Fibonacci,73.6831917,0.697653677
Fibonacci,5,11,Fibonacci,72.26361039,0.736243936
Fibonacci,5,12,Fibonacci,75.73371689,0.715105848
Fibonacci,5,13,Fibonacci,74.20048326,0.764239359
Fibonacci,5,14,Fibonacci,78.88042017,0.791452442
Fibonacci,5,15,Fibonacci,78.48630036,0.799301464
Fibonacci,6,5,Fibonacci,64.60774833,0.658751824
Fibonacci,6,6,Fibonacci,69.90324951,0.607871033
Fibonacci,6,7,Fibonacci,71.03657037,0.675900716
Fibonacci,6,8,Fibonacci,73.55561361,0.693018762
Fibonacci,6,9,Fibonacci,73.43671622,0.705512236
Fibonacci,6,10,Fibonacci,73.70745414,0.664526273
Fibonacci,6,11,Fibonacci,74.26616067,0.717176313
Fibonacci,6,12,Fibonacci,75.84274832,0.775163551
Fibonacci,6,13,Fibonacci,80.6866333,0.77315883
Fibonacci,6,14,Fibonacci,80.07333513,0.813447036
Fibonacci,6,15,Fibonacci,82.53851589,0.800848906
Fibonacci,7,5,Fibonacci,65.68664076,0.625351475
Fibonacci,7,6,Fibonacci,70.99707653,0.686695265
Fibonacci,7,7,Fibonacci,74.84524191,0.70334204
Fibonacci,7,8,Fibonacci,73.25145894,0.698466895
Fibonacci,7,9,Fibonacci,73.40207044,0.711649075
Fibonacci,7,10,Fibonacci,75.92177014,0.743925556
Fibonacci,7,11,Fibonacci,76.32670745,0.746521866
Fibonacci,7,12,Fibonacci,79.3096298,0.807368634
Fibonacci,7,13,Fibonacci,78.65170349,0.81843275
Fibonacci,7,14,Fibonacci,79.39856296,0.815636199
Fibonacci,7,15,Fibonacci,82.32229528,0.839975418
Fibonacci,8,5,Fibonacci,71.44862175,0.684902199
Fibonacci,8,6,Fibonacci,70.56052709,0.722244999
Fibonacci,8,7,Fibonacci,68.07038716,0.718947144
Fibonacci,8,8,Fibonacci,73.4828283,0.728012194
Fibonacci,8,9,Fibonacci,75.6030546,0.737448703
Fibonacci,8,10,Fibonacci,77.28476484,0.749658764
Fibonacci,8,11,Fibonacci,81.19341614,0.798425374
Fibonacci,8,12,Fibonacci,79.40883056,0.786000455
Fibonacci,8,13,Fibonacci,82.248563,0.836390724
Fibonacci,8,14,Fibonacci,82.77327813,0.840884222
Fibonacci,8,15,Fibonacci,87.68904407,0.871312275
Fibonacci,9,5,Fibonacci,70.84809503,0.729540844
Fibonacci,9,6,Fibonacci,71.41573203,0.696811212
Fibonacci,9,7,Fibonacci,73.40335208,0.715402206
Fibonacci,9,8,Fibonacci,74.75344209,0.738990451
Fibonacci,9,9,Fibonacci,77.45779646,0.775462447
Fibonacci,9,10,Fibonacci,79.86793746,0.786031123
Fibonacci,9,11,Fibonacci,78.81588104,0.835906949
Fibonacci,9,12,Fibonacci,82.28864782,0.796612295
Fibonacci,9,13,Fibonacci,82.37723625,0.834430658
Fibonacci,9,14,Fibonacci,88.04690308,0.846938852
Fibonacci,9,15,Fibonacci,86.8478347,0.855883668
Fibonacci,10,5,Fibonacci,71.72493709,0.718074837
Fibonacci,10,6,Fibonacci,74.88083135,0.70115932
Fibonacci,10,7,Fibonacci,74.86278444,0.751588238
Fibonacci,10,8,Fibonacci,74.00263434,0.752774069
Fibonacci,10,9,Fibonacci,79.8214665,0.780761144
Fibonacci,10,10,Fibonacci,78.59830562,0.784766191
Fibonacci,10,11,Fibonacci,81.48508624,0.833022978
Fibonacci,10,12,Fibonacci,82.72634452,0.795057447
Fibonacci,10,13,Fibonacci,84.27223617,0.887084958
Fibonacci,10,14,Fibonacci,84.05871085,0.863131395
Fibonacci,10,15,Fibonacci,85.49577547,0.920693312
Fibonacci,11,5,Fibonacci,73.38075911,0.750344899
Fibonacci,11,6,Fibonacci,77.04728416,0.738496871
Fibonacci,11,7,Fibonacci,77.12453588,0.772102763
Fibonacci,11,8,Fibonacci,82.21100732,0.781233708
Fibonacci,11,9,Fibonacci,78.88037349,0.803592057
Fibonacci,11,10,Fibonacci,83.07579348,0.808298539
Fibonacci,11,11,Fibonacci,84.93664563,0.83340798
Fibonacci,11,12,Fibonacci,83.81455126,0.855185483
Fibonacci,11,13,Fibonacci,87.04067831,0.889687005
